artist_name,release_year,tag,mean_feminine_norm,mean_masculine_norm,total_tracks
Ariana Grande,2013,pop,0.0,1.3416815742397137,4
Ariana Grande,2014,pop,3.1308091571502725,2.0664068218416043,8
Ariana Grande,2016,pop,3.9445460798855505,19.48273944387548,13
Ariana Grande,2019,pop,2.554026094148864,3.055092594581118,9
Ariana Grande,2020,pop,0.0,4.9504950495049505,1
Ariana Grande,2021,pop,0.0,4.9504950495049505,2
Ariana Grande,2023,pop,0.0,0.8944543828264758,6
Ariana Grande,2024,pop,4.768137480105465,3.0983043401306563,13
Ariana Grande,2025,pop,0.0,0.0,10
Drake,2009,rap,15.35253710370999,5.136505029599819,14
Drake,2010,pop,0.0,0.0,2
Drake,2010,rap,12.177236337026518,6.764382907918906,25
Drake,2011,rap,14.428948367027525,5.215892104491001,13
Drake,2013,rap,10.807760739395214,5.532998700854877,27
Drake,2015,rap,12.278471543859496,12.486671194621463,14
Drake,2016,pop,6.173014924836655,1.864801864801865,5
Drake,2016,rap,7.370997085321472,6.056328430912611,11
Drake,2017,pop,4.778547874336039,5.179951611746623,4
Drake,2017,rap,5.339424071110932,7.452260761893377,16
Drake,2018,rap,6.885052798810588,7.177158963855573,19
Drake,2019,rap,10.881465554019826,10.070377216491446,17
Drake,2020,rap,8.293582158457147,7.338606045550748,15
Drake,2021,pop,0.0,0.0,1
Drake,2021,rap,13.269065422010021,6.094418601798903,18
Drake,2022,rap,0.0,0.0,1
Ed Sheeran,2011,pop,8.76424828660902,2.329053238231074,36
Ed Sheeran,2014,pop,8.772110737564935,2.9495043137544195,41
Ed Sheeran,2014,rap,0.0,13.927576601671309,1
Ed Sheeran,2015,pop,2.925371659929404,5.989754677413583,16
Ed Sheeran,2015,rap,0.0,13.927576601671309,1
Ed Sheeran,2017,pop,13.737991342438358,10.800167240566099,14
Ed Sheeran,2019,pop,17.326600132451148,3.7379620448632216,9
Ed Sheeran,2019,rap,0.6693440428380187,12.369276605167538,2
Ed Sheeran,2021,pop,10.14661573099554,0.7436916043030959,28
Ed Sheeran,2022,pop,8.45435101929468,1.037585041320494,26
Ed Sheeran,2023,pop,0.0,0.0,1
Ed Sheeran,2024,pop,10.072824923616551,3.3323939780203893,89
Ed Sheeran,2024,rap,0.0,13.927576601671309,1
Taylor Swift,2012,pop,0.4025764895330113,20.85940751366483,12
Taylor Swift,2014,pop,5.591628263971875,4.646320716621453,32
Taylor Swift,2017,pop,4.440500674246496,9.32812906334492,24
Taylor Swift,2018,pop,2.435860251928998,8.796681668762234,12
Taylor Swift,2019,pop,0.5569130611222878,15.007736974756885,13
Taylor Swift,2021,pop,0.0,14.783974862529456,5
Taylor Swift,2023,pop,4.67825752896253,5.0407409410239294,37
